CustomerID,Churn,Tenure,PreferredLoginDevice,CityTier,WarehouseToHome,PreferredPaymentMode,Gender,HourSpendOnApp,NumberOfDeviceRegistered,PreferedOrderCat,SatisfactionScore,MaritalStatus,NumberOfAddress,Complain,OrderAmountHikeFromlastYear,CouponUsed,OrderCount,DaySinceLastOrder,CashbackAmount
55515,1,20.0,Mobile Phone,1,31.0,Debit Card,Male,4.0,4,Mobile Phone,1,Single,3,0,17.0,1.0,2.0,1.0,150.87
55516,0,10.0,Mobile Phone,3,24.0,E wallet,Male,3.0,5,Laptop & Accessory,4,Married,4,0,17.0,2.0,2.0,4.0,180.07
55517,0,15.0,Mobile Phone,3,15.0,E wallet,Female,3.0,4,Laptop & Accessory,4,Married,7,0,22.0,1.0,2.0,5.0,168.93
55518,0,16.0,Mobile Phone,1,13.0,Credit Card,Male,3.0,4,Fashion,5,Married,11,0,14.0,6.0,,8.0,258.48
55519,0,5.0,Mobile Phone,3,17.0,Credit Card,Female,3.0,4,Laptop & Accessory,1,Married,4,1,12.0,2.0,2.0,5.0,190.83
55520,0,8.0,Mobile Phone,3,10.0,Credit Card,Female,4.0,5,Laptop & Accessory,1,Married,5,1,13.0,1.0,2.0,2.0,206.03
55521,0,5.0,Mobile Phone,1,11.0,Credit Card,Female,4.0,2,Mobile Phone,3,Married,10,0,13.0,2.0,3.0,3.0,164.78
55522,0,1.0,Computer,1,13.0,UPI,Male,4.0,2,Mobile Phone,1,Married,2,0,19.0,3.0,8.0,8.0,150.44
55523,0,19.0,Computer,1,8.0,Credit Card,Male,3.0,4,Laptop & Accessory,3,Single,6,0,13.0,1.0,2.0,4.0,178.99
55524,0,7.0,Mobile Phone,3,17.0,E wallet,Male,3.0,4,Laptop & Accessory,3,Single,3,0,15.0,1.0,2.0,10.0,179.87
55525,0,2.0,Computer,3,8.0,Debit Card,Male,3.0,5,Laptop & Accessory,1,Married,3,1,13.0,2.0,2.0,8.0,193.34
55526,1,1.0,Computer,3,31.0,COD,Male,3.0,2,Mobile Phone,5,Single,3,0,18.0,1.0,2.0,1.0,135.91
55527,0,13.0,Computer,3,28.0,Debit Card,Female,3.0,6,Laptop & Accessory,3,Married,8,0,20.0,1.0,2.0,3.0,182.36
55528,0,1.0,Phone,1,9.0,COD,Male,3.0,4,Mobile Phone,4,Married,3,0,12.0,1.0,2.0,3.0,147.26
55529,0,8.0,Computer,1,29.0,UPI,Male,3.0,5,Laptop & Accessory,1,Married,3,1,16.0,4.0,7.0,12.0,182.47
55530,1,1.0,Mobile Phone,3,20.0,E wallet,Female,3.0,4,Laptop & Accessory,3,Single,5,1,12.0,1.0,3.0,,223.54
55531,0,21.0,Computer,1,21.0,COD,Male,4.0,4,Laptop & Accessory,4,Married,10,0,19.0,1.0,2.0,8.0,179.67
55532,0,30.0,Mobile Phone,3,18.0,E wallet,Female,3.0,5,Laptop & Accessory,5,Married,6,0,17.0,1.0,2.0,1.0,178.8
55533,0,13.0,Mobile Phone,1,16.0,Credit Card,Male,3.0,4,Laptop & Accessory,5,Married,3,0,26.0,1.0,8.0,10.0,176.51
55534,0,12.0,Computer,1,15.0,Credit Card,Female,3.0,5,Laptop & Accessory,4,Married,3,1,17.0,2.0,2.0,8.0,146.33
55535,0,61.0,Mobile Phone,3,28.0,Debit Card,Female,4.0,4,Grocery,1,Married,6,1,,1.0,2.0,1.0,303.75
55536,1,1.0,Computer,1,12.0,Debit Card,Female,3.0,2,Mobile Phone,3,Single,5,1,15.0,1.0,2.0,4.0,149.32
55537,0,12.0,Mobile Phone,1,16.0,Debit Card,Male,4.0,4,Mobile Phone,1,Married,4,0,20.0,1.0,2.0,4.0,172.71
55538,0,23.0,Computer,1,9.0,Debit Card,Male,3.0,4,Others,1,Married,5,0,,5.0,5.0,4.0,316.61
55539,0,16.0,Mobile Phone,3,19.0,E wallet,Male,4.0,4,Laptop & Accessory,1,Married,5,1,13.0,2.0,2.0,1.0,175.87
55540,1,1.0,Computer,2,29.0,UPI,Female,3.0,5,Mobile Phone,4,Married,3,0,13.0,2.0,2.0,1.0,153.63
55541,0,9.0,Mobile Phone,3,25.0,Credit Card,Male,4.0,4,Laptop & Accessory,5,Married,2,0,17.0,2.0,2.0,5.0,180.61
55542,0,2.0,Computer,1,23.0,Credit Card,Male,3.0,4,Mobile Phone,3,Single,3,0,15.0,1.0,2.0,5.0,146.44
55543,0,5.0,Computer,1,10.0,Credit Card,Male,3.0,4,Mobile Phone,5,Married,3,1,14.0,3.0,3.0,4.0,155.65
55544,0,10.0,Computer,1,16.0,Debit Card,Male,4.0,2,Mobile Phone,4,Married,3,0,23.0,2.0,2.0,3.0,153.1
55545,0,8.0,Mobile Phone,3,8.0,E wallet,Male,3.0,4,Fashion,1,Single,3,0,22.0,3.0,3.0,,223.88
55546,0,8.0,Mobile Phone,3,20.0,Credit Card,Male,3.0,4,Fashion,3,Married,3,0,19.0,1.0,2.0,,211.28
55547,0,1.0,Mobile Phone,1,8.0,Credit Card,Male,4.0,4,Mobile Phone,5,Single,2,0,14.0,8.0,8.0,7.0,153.67
55548,0,3.0,Mobile Phone,1,8.0,Debit Card,Male,3.0,4,Laptop & Accessory,5,Married,2,0,13.0,1.0,2.0,3.0,178.73
55549,0,6.0,Computer,1,22.0,Credit Card,Female,3.0,4,Laptop & Accessory,1,Married,7,0,19.0,1.0,2.0,3.0,191.67
55550,0,5.0,Computer,1,8.0,Debit Card,Male,3.0,6,Laptop & Accessory,5,Married,3,0,22.0,7.0,9.0,8.0,175.03
55551,1,1.0,Phone,1,24.0,COD,Male,3.0,5,Mobile Phone,1,Married,7,0,13.0,2.0,2.0,4.0,148.67
55552,0,12.0,Mobile Phone,3,8.0,Debit Card,Male,3.0,5,Mobile Phone,5,Single,6,0,15.0,2.0,2.0,1.0,153.58
55553,0,9.0,Mobile Phone,3,14.0,Debit Card,Female,3.0,4,Laptop & Accessory,1,Married,3,1,12.0,2.0,2.0,10.0,177.04
55554,0,1.0,Mobile Phone,3,16.0,E wallet,Male,3.0,4,Laptop & Accessory,1,Single,3,0,15.0,2.0,2.0,8.0,166.05
55555,0,6.0,Mobile Phone,1,12.0,Debit Card,Male,3.0,5,Laptop & Accessory,1,Single,10,0,25.0,2.0,2.0,,221.79
55556,1,1.0,Computer,3,33.0,E wallet,Male,4.0,4,Laptop & Accessory,1,Married,3,1,12.0,1.0,2.0,9.0,181.17
55557,1,17.0,Mobile Phone,3,31.0,Debit Card,Male,4.0,4,Fashion,5,Single,8,1,14.0,1.0,3.0,,229.48
55558,0,28.0,Mobile Phone,1,16.0,Debit Card,Female,4.0,4,Laptop & Accessory,3,Married,5,0,12.0,2.0,3.0,4.0,153.97
55559,0,7.0,Computer,1,14.0,Debit Card,Male,3.0,4,Laptop & Accessory,3,Married,3,0,21.0,1.0,3.0,9.0,184.68
55560,0,17.0,Mobile Phone,1,18.0,Debit Card,Male,2.0,4,Fashion,3,Married,3,0,18.0,2.0,2.0,10.0,200.1
55561,0,12.0,Computer,2,8.0,UPI,Male,3.0,4,Mobile Phone,4,Married,2,1,12.0,1.0,2.0,3.0,154.91
55562,0,29.0,Mobile Phone,2,33.0,UPI,Male,4.0,2,Others,4,Married,6,1,,2.0,2.0,5.0,321.36
55563,0,5.0,Phone,1,9.0,Credit Card,Female,3.0,6,Mobile Phone,1,Married,3,1,12.0,1.0,2.0,1.0,136.29
55564,0,13.0,Mobile Phone,3,22.0,E wallet,Male,4.0,4,Grocery,5,Single,2,0,13.0,5.0,,11.0,258.41
55565,0,16.0,Computer,1,30.0,Debit Card,Male,3.0,5,Laptop & Accessory,3,Single,3,0,13.0,4.0,4.0,8.0,168.32
55566,0,5.0,Computer,1,17.0,Credit Card,Female,3.0,4,Fashion,3,Married,6,0,21.0,4.0,,9.0,235.31
55567,0,28.0,Mobile Phone,1,17.0,Credit Card,Female,4.0,4,Laptop & Accessory,5,Single,8,1,20.0,1.0,2.0,5.0,169.4
55568,0,1.0,Mobile Phone,1,8.0,Debit Card,Male,3.0,5,Laptop & Accessory,3,Single,3,0,13.0,2.0,2.0,3.0,171.17
55569,0,1.0,Mobile Phone,1,19.0,UPI,Male,4.0,4,Mobile Phone,1,Single,3,0,14.0,2.0,2.0,5.0,151.47
55570,0,14.0,Computer,1,18.0,COD,Female,4.0,4,Laptop & Accessory,3,Married,3,0,12.0,8.0,10.0,5.0,188.23
55571,0,14.0,Mobile Phone,3,9.0,E wallet,Female,4.0,4,Laptop & Accessory,4,Married,5,0,15.0,2.0,6.0,11.0,181.77
55572,0,1.0,Phone,2,9.0,UPI,Female,3.0,4,Mobile Phone,4,Married,6,0,15.0,1.0,2.0,3.0,146.87
55573,0,4.0,Mobile Phone,1,8.0,Credit Card,Male,4.0,4,Mobile Phone,4,Married,3,0,14.0,2.0,2.0,8.0,162.48
55574,0,1.0,Mobile Phone,1,9.0,UPI,Male,3.0,4,Mobile Phone,3,Married,8,1,20.0,1.0,2.0,3.0,164.77
55575,0,21.0,Mobile Phone,1,32.0,Credit Card,Male,3.0,4,Fashion,3,Single,4,0,24.0,10.0,13.0,,211.33
55576,0,7.0,Computer,1,8.0,Credit Card,Male,3.0,5,Mobile Phone,3,Married,3,0,13.0,1.0,2.0,1.0,145.08
55577,0,12.0,Mobile Phone,3,8.0,Debit Card,Male,3.0,4,Laptop & Accessory,4,Married,2,0,16.0,2.0,6.0,9.0,169.4
55578,0,5.0,Mobile Phone,3,9.0,Debit Card,Male,3.0,4,Mobile Phone,3,Married,2,0,20.0,1.0,2.0,3.0,155.67
55579,0,12.0,Computer,1,13.0,Debit Card,Male,4.0,5,Laptop & Accessory,3,Married,4,0,12.0,3.0,8.0,8.0,178.21
55580,0,16.0,Mobile Phone,1,25.0,Debit Card,Male,3.0,4,Laptop & Accessory,5,Married,8,1,18.0,2.0,2.0,3.0,179.1
55581,0,15.0,Mobile Phone,1,8.0,Debit Card,Male,4.0,4,Mobile Phone,1,Married,5,0,23.0,1.0,2.0,1.0,152.82
55582,0,21.0,Computer,1,8.0,Credit Card,Female,4.0,4,Fashion,4,Married,2,0,19.0,1.0,,13.0,244.57
55583,0,9.0,Mobile Phone,1,18.0,Credit Card,Male,3.0,4,Mobile Phone,3,Married,9,1,12.0,3.0,3.0,3.0,151.6
55584,0,1.0,Mobile Phone,1,8.0,Debit Card,Male,4.0,4,Mobile Phone,3,Single,2,0,13.0,2.0,2.0,3.0,158.75
55585,0,9.0,Mobile Phone,1,16.0,Credit Card,Male,3.0,4,Laptop & Accessory,3,Single,3,0,20.0,1.0,2.0,9.0,175.98
55586,0,7.0,Mobile Phone,1,22.0,Credit Card,Female,4.0,4,Laptop & Accessory,1,Married,2,1,14.0,7.0,9.0,2.0,173.78
55587,0,6.0,Mobile Phone,1,36.0,Debit Card,Female,3.0,5,Mobile Phone,4,Single,3,0,14.0,1.0,5.0,2.0,153.37
55588,0,14.0,Phone,1,8.0,Debit Card,Male,3.0,4,Mobile Phone,1,Married,10,0,20.0,2.0,2.0,1.0,149.06
55589,0,6.0,Phone,3,8.0,Credit Card,Male,4.0,5,Mobile Phone,4,Married,2,0,15.0,3.0,3.0,3.0,147.69
55590,0,13.0,Mobile Phone,1,31.0,Debit Card,Male,3.0,4,Laptop & Accessory,1,Single,9,0,14.0,1.0,2.0,8.0,166.08
55591,0,12.0,Mobile Phone,1,17.0,Credit Card,Female,4.0,6,Fashion,3,Married,5,0,13.0,1.0,,12.0,257.06
55592,0,6.0,Mobile Phone,3,8.0,E wallet,Female,3.0,4,Fashion,1,Married,3,0,20.0,1.0,6.0,,229.22
55593,0,11.0,Mobile Phone,1,17.0,Debit Card,Female,3.0,2,Fashion,1,Married,3,1,26.0,,7.0,9.0,262.44
55594,0,1.0,Mobile Phone,3,15.0,UPI,Female,3.0,4,Laptop & Accessory,3,Married,2,1,23.0,1.0,2.0,5.0,174.07
55595,0,26.0,Computer,3,36.0,Debit Card,Male,3.0,4,Mobile Phone,1,Married,4,0,16.0,2.0,2.0,1.0,159.82
55596,0,18.0,Phone,1,8.0,Credit Card,Male,3.0,4,Mobile Phone,1,Single,8,1,13.0,2.0,2.0,3.0,149.36
55597,0,1.0,Phone,3,12.0,Credit Card,Male,3.0,4,Mobile Phone,5,Single,3,1,12.0,2.0,2.0,3.0,148.8
55598,0,13.0,Computer,1,16.0,Debit Card,Male,3.0,4,Others,1,Single,4,0,,2.0,2.0,4.0,319.31
55599,1,1.0,Computer,3,16.0,E wallet,Male,3.0,4,Mobile Phone,5,Married,3,0,20.0,2.0,2.0,1.0,142.9
55600,0,10.0,Mobile Phone,3,10.0,Credit Card,Female,4.0,5,Fashion,1,Married,2,0,20.0,1.0,4.0,5.0,201.44
